RAJ2000,DEJ2000,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg,tm_designation,gaia_source_id,kepid,nearest_neighbour
285.052473,40.611683,b'19001259+4036420',8.04,0.034,7.642,0.029,7.533,0.017,b'AAA',b'111',b'111',b'0s0',0,0,2MASS J19001259+4036420,2103439140636760064,5429911,1
285.589053,40.605247,b'19022137+4036188',9.846,0.021,9.667,0.023,9.614,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19022137+4036188,2103757788552127232,5431016,1
292.4522,40.631561,b'19294852+4037536',8.827,0.019,8.616,0.023,8.502,0.019,b'AAA',b'112',b'111',b'000',0,0,2MASS J19294852+4037536,2053521445876381824,5450445,1
292.4522,40.631561,b'19294852+4037536',8.827,0.019,8.616,0.023,8.502,0.019,b'AAA',b'112',b'111',b'000',0,0,2MASS J19294852+4037536,2053521450178081792,5450445,0
292.4522,40.631561,b'19294852+4037536',8.827,0.019,8.616,0.023,8.502,0.019,b'AAA',b'112',b'111',b'000',0,0,2MASS J19294852+4037536,2053521445876381824,5450445,1
292.4522,40.631561,b'19294852+4037536',8.827,0.019,8.616,0.023,8.502,0.019,b'AAA',b'112',b'111',b'000',0,0,2MASS J19294852+4037536,2053521450178081792,5450445,0
283.732843,40.775333,b'18545588+4046311',8.888,0.024,8.563,0.034,8.563,0.018,b'AAA',b'112',b'111',b'000',0,0,2MASS J18545588+4046311,2103675501276015616,5512589,1
285.914848,40.704945,b'19033956+4042178',8.857,0.023,8.636,0.02,8.594,0.017,b'AAA',b'112',b'111',b'000',0,0,2MASS J19033956+4042178,2100777463504599936,5516982,1
288.467961,40.757801,b'19135231+4045280',10.379,0.022,9.978,0.021,9.934,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19135231+4045280,2102072378965271040,5523099,1
290.754306,40.724583,b'19230103+4043284',9.329,0.021,9.06,0.016,8.991,0.017,b'AAA',b'222',b'111',b'000',0,0,2MASS J19230103+4043284,2101563438219320448,5530375,1
294.638684,40.706371,b'19383328+4042229',10.167,0.022,9.835,0.028,9.824,0.025,b'AAA',b'222',b'111',b'000',0,0,2MASS J19383328+4042229,2076573673532359040,5543462,1
287.646352,40.84306,b'19103512+4050350',9.504,0.02,9.138,0.022,9.031,0.018,b'AAA',b'222',b'111',b'000',0,0,2MASS J19103512+4050350,2100642876410617856,5607242,1
294.478657,40.83168,b'19375487+4049540',9.036,0.044,8.542,0.029,8.487,0.024,b'AAA',b'122',b'111',b'000',0,0,2MASS J19375487+4049540,2076578758773630208,5629080,1
294.478657,40.83168,b'19375487+4049540',9.036,0.044,8.542,0.029,8.487,0.024,b'AAA',b'122',b'111',b'000',0,0,2MASS J19375487+4049540,2076578758773629952,5629080,0
294.478657,40.83168,b'19375487+4049540',9.036,0.044,8.542,0.029,8.487,0.024,b'AAA',b'122',b'111',b'000',0,0,2MASS J19375487+4049540,2076578758773630208,5629080,1
294.478657,40.83168,b'19375487+4049540',9.036,0.044,8.542,0.029,8.487,0.024,b'AAA',b'122',b'111',b'000',0,0,2MASS J19375487+4049540,2076578758773629952,5629080,0
296.406363,40.836781,b'19453752+4050124',9.916,0.026,9.673,0.021,9.602,0.012,b'AAA',b'222',b'111',b'000',0,0,2MASS J19453752+4050124,2076796530795375744,5636956,1
283.148503,40.988308,b'18523564+4059179',10.407,0.023,10.212,0.032,10.115,0.023,b'AAA',b'222',b'111',b'000',0,0,2MASS J18523564+4059179,2104355892815154688,5683538,1
285.945643,40.920647,b'19034695+4055143',8.983,0.026,8.748,0.018,8.697,0.015,b'AAA',b'112',b'111',b'000',0,0,2MASS J19034695+4055143,2103789369450008448,5689219,1
