id_starname,teff,teff_err,logg,logg_err,feh,feh_err,parallax,parallax_err,kmag,kmag_err,ra,dec,band,dust,comments
KIC6593620,5582.858,123.68943,4.045513280822439,0.029706111595191743,-0.20614672,0.06708496,0.0032919838409229203,2.400767630157136e-05,9.762,0.011000000000000001,287.77565459171024,42.04551557946144,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6603624,5424.1636,105.603935,4.311165460115629,0.008359340939778529,0.26920536,0.06415602599999999,0.012204592362716673,2.079640771050877e-05,7.566,0.024,291.04645954865845,42.05254163836772,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6605673,6116.2285,144.9599,4.055710525317055,0.03209142007171078,-0.24826062,0.07845077,0.003046588162508959,2.5413205349296143e-05,9.704,0.016,291.67260853863337,42.06151368025952,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6612225,6471.9272,162.03717,4.018945232921685,0.013392339936970706,-0.29161915,0.08706421,0.0032434299637006765,3.676579459628418e-05,9.237,0.012,293.58985495846275,42.08681631879463,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6671492,5881.564,143.14752,3.824724735964436,0.028654824683631418,0.17025663,0.052891925,0.001867913504177679,2.576405265732701e-05,9.96,0.016,284.59616301409415,42.11882866972714,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6688822,5594.0566,108.90338999999999,3.8582928824019302,0.0261856827879864,0.33720517,0.067438565,0.0035612839437566906,7.849411519580419e-05,8.543,0.011000000000000001,291.00157878382544,42.14608301074197,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6689943,6061.0757,133.17252,4.1833713154298655,0.01830298170868544,0.04355281,0.077320784,0.004595026046211892,2.302431541809421e-05,8.872,0.013999999999999999,291.352812497018,42.123622026219365,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6693861,5604.8047,122.93966,3.8366726830368174,0.008585444182619681,-0.33805338,0.05907504,0.0022935684898291696,2.393739425623073e-05,9.974,0.017,292.5372094942204,42.153935664697975,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6766513,6021.3584,157.7335,3.8981511071374815,0.012796917231518837,-0.25830337,0.07207158,0.001988702122204865,2.2309108730206082e-05,10.103,0.018000000000000002,288.2697122641904,42.25708226308305,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6802438,5196.967000000001,95.67622,3.678848253773519,0.012742467538505315,-0.20154336,0.043351967000000005,0.002963907738634712,2.627199945789874e-05,8.87,0.012,298.0107424770336,42.20221306720447,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6806100,5198.2754,94.37125,3.883549139738309,0.08451680388371406,0.30912665,0.033063065,0.0022453419127383615,6.575180023365555e-05,9.501,0.018000000000000002,298.78797306994096,42.21627816565551,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6837853,5749.8516,116.92076999999999,4.219830397318587,0.03316353790336109,0.22357191,0.07059406,0.004004639007247923,1.9038237033507375e-05,9.61,0.019,282.0069232120291,42.35321723059389,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6848299,5239.8066,114.89268500000001,3.903875954189076,0.014492089745746818,-0.28703338,0.045086275999999995,0.0031922397353471633,2.142520022274059e-05,9.571,0.013999999999999999,286.8205812464422,42.31260146042114,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6853020,6206.241,137.28978,3.9707255224202127,0.04189728853555081,0.08517118,0.08070129,0.002567589775123687,2.610500339088907e-05,9.502,0.013999999999999999,288.6733101455193,42.34251564451787,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6863041,5576.5454,110.10108000000001,3.838375703386917,0.023328308909449345,0.27226478,0.06709285,9.040106078317152e-05,0.00028012912405343376,9.898,0.015,291.8135393631154,42.362093844669936,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6933899,5771.83,123.26603,4.0889037355022415,0.007915033164453245,0.02974477,0.07101619,0.006232995393205254,3.125894004322696e-05,8.171,0.021,286.74285376207405,42.435392462787405,kmag,allsky,using APOGEE DR14 m_h and teff
KIC6947945,5334.438,103.4667,3.7940632161626073,0.01100358534042036,-0.04151237,0.043106824,0.00286682557917845,3.7864732785466064e-05,9.328,0.015,291.6013069926766,42.48449151948921,kmag,allsky,using APOGEE DR14 m_h and teff
KIC7038145,5963.5366,121.58793,3.8302793268539994,0.02591049989887196,0.30739075,0.07516895,0.0016289847733398058,2.3018132656648743e-05,10.267000000000001,0.018000000000000002,293.1982500722225,42.5555801554328,kmag,allsky,using APOGEE DR14 m_h and teff
